"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-18","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","37",",,W",,,"  270",",,W","  280",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-19","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"43",",,W","35",",,W",,,"  270",",,W","  240",",,W","17.0",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-20","7.61",",,W",,,"0.02",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"40",",,W","27",",,W",,,"  300",",,W","  300",",,W","21.0",",,W","32.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-21","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"43",",,W","25",",,W",,,"  220",",,W","  240",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-22","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","36",",,W",,,"  280",",,W","  260",",,W","16.1",",,W","29.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-23","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"36",",,W","24",",,W",,,"  310",",,W","  290",",,W","23.0",",,W","34.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-24","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"32",",,W","22",",,W","    0",",,W","  300",",,W","  300",",,W","19.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-25","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"37",",,W","23",",,W",,,"   40",",,W","   40",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-26","7.16",",,W",,,"0.10",",,W,2400","0.1",",,W,2400","0.0",",,W,2400",,,"34",",,W","31",",,W",,,"   50",",,W","   50",",,W","15.0",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-27","5.82",",,W",,,"0.00",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"37",",,W","31",",,W",,,"  300",",,W","  300",",,W","15.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-28","10.29",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"34",",,W","20",",,W",,,"  300",",,W","  300",",,W","23.0",",,W","36.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-29","13.87",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"25",",,W","14",",,W",,,"  300",",,W","  310",",,W","25.9",",,W","42.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-30","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"32",",,W","17",",,W",,,"  310",",,W","  300",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-01-31","6.71",",,W",,,"0.12",",,W,2400","2.0",",,W,2400","0.0",",,W,2400",,,"26",",,W","20",",,W",,,"   50",",,W","   60",",,W","17.0",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-01","14.32",",,W",,,"1.85",",,W,2400","14.8",",,W,2400","5.1",",,W,2400",,,"34",",,W","22",",,W",,,"   30",",,W","   40",",,W","19.9",",,W","36.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-02","8.50",",,W",,,"0.13",",,W,2400","0.4",",,W,2400","14.2",",,W,2400",,,"33",",,W","30",",,W",,,"   10",",,W","   20",",,W","16.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-03","7.61",",,W",,,"0.01",",,W,2400","0.2",",,W,2400","13.0",",,W,2400",,,"37",",,W","29",",,W",,,"  290",",,W","  290",",,W","15.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2021-02-04","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","11.0",",,W,2400",,,"43",",,W","31",",,W",,,"  300",",,W","  280",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,,,
